"section","item","value"
"gate","Cmax 30-min infusion 7 mg/kg (mg/L)","26.48"
"gate","Trough 24 h after infusion (mg/L)","0.5976"
"gate","t1/2 NCA effective (h)","2.32"
"gate","AUC24 after 490 mg (mg*h/L)","98.1"
"gate","Cmax IV bolus 5 mg/kg (mg/L)","20.5"
"gate","CLCR power model: CL@65 vs ICU pub.","4.06"
"bioavailability","solution_native","70.9%"
"bioavailability","sedds_native","72.2%"
"bioavailability","pe_c10_50mM","74.9%"
"bioavailability","hip_complex","79.5%"
"bioavailability","hip_sedds_pe_full","79.5%"
"sensitivity_rank","CLCR","1"
"sensitivity_rank","Papp_mult","2"
"sensitivity_rank","dose_mg","3"
"sensitivity_rank","gastric_h","4"
