rank,F_oral,Cmax_MIC,AUC_MIC,fitness,estimated_cost_usd,feasibility_grade,fda_category,est_years,est_cost_m_usd,risk_level,priority
1,0.28,12.42,60.15,0.63,4.35,B,505(b)(2),7,4.8,Élevé,Moyenne
2,0.28,12.42,60.15,0.63,4.35,B,505(b)(2),7,4.8,Élevé,Moyenne
3,0.28,11.99,58.32,0.62,4.33,B,505(b)(2),7,4.8,Élevé,Moyenne
4,0.27,12.03,57.81,0.61,4.27,B,505(b)(2),7,4.8,Élevé,Moyenne
5,0.27,12.01,57.67,0.61,4.26,B,505(b)(2),7,4.8,Élevé,Moyenne
6,0.27,11.98,57.51,0.61,4.26,B,505(b)(2),7,4.8,Élevé,Moyenne
7,0.27,11.97,57.47,0.61,4.26,B,505(b)(2),7,4.8,Élevé,Moyenne
8,0.27,11.8,56.75,0.61,4.26,B,505(b)(2),7,4.8,Élevé,Moyenne
9,0.27,11.74,56.43,0.6,4.25,B,505(b)(2),7,4.8,Élevé,Moyenne
10,0.27,11.56,55.62,0.6,4.26,B,505(b)(2),7,4.8,Élevé,Moyenne
