formulation_id,logP,particle_size,sedds_composition,pe_conc,polymer,chitosan,enteric,dose,F_oral,Cmax,AUC_24,Cmax_MIC,AUC_MIC,fCT,Ctrough,enhancement_vs_native,fitness
TOB-161,1.5,50,50/30/20,50,30,1,1,550.57,0.34,9.54,32.12,9.54,32.12,29.52,0.16,23,0.61
TOB-196,1.5,50,50/30/20,50,30,1,1,550.57,0.34,9.54,32.12,9.54,32.12,29.52,0.16,23,0.61
TOB-22,1.5,50,50/30/20,50,30,1,1,542.1,0.34,9.4,31.66,9.4,31.66,29.11,0.16,23,0.61
TOB-91,1.5,50,50/30/20,50,30,1,1,536.29,0.34,9.31,31.34,9.31,31.34,28.9,0.15,23,0.61
TOB-162,1.5,50,50/30/20,50,30,1,1,534.04,0.34,9.27,31.21,9.27,31.21,28.9,0.15,23,0.61
TOB-158,1.5,50,50/30/20,50,30,1,1,530.19,0.34,9.21,31,9.21,31,28.69,0.15,23,0.61
TOB-143,1.5,50,50/30/20,50,30,1,1,571.49,0.34,9.88,33.26,9.88,33.26,30.15,0.16,22,0.61
TOB-136,1.5,50,50/30/20,50,30,1,1,575.04,0.34,9.94,33.45,9.94,33.45,30.35,0.16,22,0.61
TOB-179,1.5,50,50/30/20,50,30,1,1,578.23,0.34,9.99,33.62,9.99,33.62,30.56,0.16,22,0.61
TOB-34,1.5,50,50/30/20,50,30,1,1,580.65,0.34,10.03,33.76,10.03,33.76,30.56,0.17,22,0.61
