rank,F_oral,Cmax_MIC,AUC_MIC,dose,fitness,Cmax,AUC,Ctrough,fCT,logP,particle_size,surfactant,cosurfactant,oil,pe_conc,polymer,chitosan,enteric,dose_range
161,33.80279029394288,9.54211550341983,32.11926131132213,550.5675038452625,0.6107287012262075,9.54211550341983,32.11926131132213,0.15739997924378954,29.521829521829524,1.5018960137485864,50.00000000000001,49.99884502084274,29.999987850087525,20.000000000098787,50,29.99999999999989,1,1,401-700mg
196,33.80279029394288,9.54211550341983,32.11926131132213,550.5675038452625,0.6107287012262075,9.54211550341983,32.11926131132213,0.15739997924378954,29.521829521829524,1.5018960137485864,50.00000000000001,49.99884502084274,29.999987850087525,20.000000000098787,50,29.99999999999989,1,1,401-700mg
22,33.83517355155966,9.40434148343711,31.65550344558734,542.098734628004,0.6107269646469388,9.40434148343711,31.65550344558734,0.1551273391602975,29.10602910602911,1.5001691141450408,50.00000000000038,49.999634028232066,29.99999999999983,20.000000013483586,50,29.99999969742052,1,1,401-700mg
91,33.8569550025928,9.309592466092662,31.336574712838978,536.2918589078917,0.6107203008706524,9.309592466092662,31.336574712838978,0.15356443405336218,28.8981288981289,1.5004503545485919,50.000000002924395,49.9993028353615,29.999987410257543,20,50,30,1,1,401-700mg
162,33.86531062242206,9.272743577614776,31.21253779399583,534.0373042020302,0.6107164558315517,9.272743577614776,31.21253779399583,0.152956592260732,28.8981288981289,1.5049975391509274,50,49.99969425773622,30,20.000002120675894,49.9999999997193,29.99999999023353,1,1,401-700mg
158,33.87962025884456,9.209788001402009,31.000625228202207,530.1875144741379,0.6107096637596016,9.209788001402009,31.000625228202207,0.1519181174545482,28.690228690228693,1.5049975391509274,50.00001662931129,49.999897713668005,30,20.000002120675894,49.99999999999379,29.9999999999042,1,1,401-700mg
143,33.72101226691848,9.88085229313498,33.25946514179766,571.4947363174416,0.6107031724541524,9.88085229313498,33.25946514179766,0.16298753096729113,30.14553014553015,1.5004503545485919,50,49.9993028353615,29.999987410257543,20,49.999999999999915,30,1,1,401-700mg
136,33.706836753114374,9.938006133892276,33.45184788025604,575.0421676610036,0.6106940388981267,9.938006133892276,33.45184788025604,0.16393029978198084,30.353430353430355,1.5003453583883246,50,49.99930779455143,30,20.00000044697769,50,30,1,1,401-700mg
179,33.69402855877092,9.989264653678733,33.62438675759053,578.227855908562,0.6106846283985903,9.989264653678733,33.62438675759053,0.16477582407935784,30.561330561330564,1.5004214534169604,50.00000000000001,49.9993028353615,30,20,49.999999999999964,30,1,1,401-700mg
34,33.684240831712856,10.028215535906341,33.75549739937001,580.6511962900586,0.6106767428588493,10.028215535906341,33.75549739937001,0.1654183298699665,30.561330561330564,1.5003773100355549,50.00000170414843,49.99931722354538,30,20.00000198663763,50,30,1,1,401-700mg
79,33.92659310481644,8.99785774878587,30.287265422660997,517.2701173279211,0.6106733742043771,8.99785774878587,30.287265422660997,0.1484223113809539,28.274428274428274,1.5015707325597027,50.00000008017995,49.99774729873464,30,20,50,29.999999999999996,1,1,401-700mg
44,33.77262539852504,9.63746174032934,32.44041612293475,556.5691833191394,0.6106684942741668,9.63746174032934,32.44041612293475,0.15897387959548612,29.72972972972973,1.5029026324059427,50,49.9993032492514,29.94855923819126,20.000000118869366,49.99999998571224,30,1,1,401-700mg
