rank,formulation,steps,n_steps,estimated_time_hours,batch_scale_kg
1,#1,Dissolution tobramycine HIP → Préparation NPs polymère (nanoprécipitation) → Incorporation tobramycine dans NPs → Préparation phase huileuse SEDDS → Ajout C10 (permeation enhancer) → Mélange SEDDS (homogénéisation) → Incorporation NPs dans SEDDS → Enrobage chitosane (fluid bed) → Enrobage entérique (Eudragit) → Compression / remplissage gélule → Contrôle qualité (libération in vitro),10,15,9999.816505671428
2,#2,Dissolution tobramycine HIP → Préparation NPs polymère (nanoprécipitation) → Incorporation tobramycine dans NPs → Préparation phase huileuse SEDDS → Ajout C10 (permeation enhancer) → Mélange SEDDS (homogénéisation) → Incorporation NPs dans SEDDS → Enrobage chitosane (fluid bed) → Enrobage entérique (Eudragit) → Compression / remplissage gélule → Contrôle qualité (libération in vitro),10,15,9999.816505671428
3,#3,Dissolution tobramycine HIP → Préparation NPs polymère (nanoprécipitation) → Incorporation tobramycine dans NPs → Préparation phase huileuse SEDDS → Ajout C10 (permeation enhancer) → Mélange SEDDS (homogénéisation) → Incorporation NPs dans SEDDS → Enrobage chitosane (fluid bed) → Enrobage entérique (Eudragit) → Compression / remplissage gélule → Contrôle qualité (libération in vitro),10,15,9949.231534653472
4,#4,Dissolution tobramycine HIP → Préparation NPs polymère (nanoprécipitation) → Incorporation tobramycine dans NPs → Préparation phase huileuse SEDDS → Ajout C10 (permeation enhancer) → Mélange SEDDS (homogénéisation) → Incorporation NPs dans SEDDS → Enrobage chitosane (fluid bed) → Enrobage entérique (Eudragit) → Compression / remplissage gélule → Contrôle qualité (libération in vitro),10,15,9949.231534653472
5,#5,Dissolution tobramycine HIP → Préparation NPs polymère (nanoprécipitation) → Incorporation tobramycine dans NPs → Préparation phase huileuse SEDDS → Ajout C10 (permeation enhancer) → Mélange SEDDS (homogénéisation) → Incorporation NPs dans SEDDS → Enrobage chitosane (fluid bed) → Enrobage entérique (Eudragit) → Compression / remplissage gélule → Contrôle qualité (libération in vitro),10,15,10000
6,#6,Dissolution tobramycine HIP → Préparation NPs polymère (nanoprécipitation) → Incorporation tobramycine dans NPs → Préparation phase huileuse SEDDS → Ajout C10 (permeation enhancer) → Mélange SEDDS (homogénéisation) → Incorporation NPs dans SEDDS → Enrobage chitosane (fluid bed) → Enrobage entérique (Eudragit) → Compression / remplissage gélule → Contrôle qualité (libération in vitro),10,15,9938.014697873608
7,#7,Dissolution tobramycine HIP → Préparation NPs polymère (nanoprécipitation) → Incorporation tobramycine dans NPs → Préparation phase huileuse SEDDS → Ajout C10 (permeation enhancer) → Mélange SEDDS (homogénéisation) → Incorporation NPs dans SEDDS → Enrobage chitosane (fluid bed) → Enrobage entérique (Eudragit) → Compression / remplissage gélule → Contrôle qualité (libération in vitro),10,15,9940.362790194302
8,#8,Dissolution tobramycine HIP → Préparation NPs polymère (nanoprécipitation) → Incorporation tobramycine dans NPs → Préparation phase huileuse SEDDS → Ajout C10 (permeation enhancer) → Mélange SEDDS (homogénéisation) → Incorporation NPs dans SEDDS → Enrobage chitosane (fluid bed) → Enrobage entérique (Eudragit) → Compression / remplissage gélule → Contrôle qualité (libération in vitro),10,15,9314.615475774484
9,#9,Dissolution tobramycine HIP → Préparation NPs polymère (nanoprécipitation) → Incorporation tobramycine dans NPs → Préparation phase huileuse SEDDS → Ajout C10 (permeation enhancer) → Mélange SEDDS (homogénéisation) → Incorporation NPs dans SEDDS → Enrobage chitosane (fluid bed) → Enrobage entérique (Eudragit) → Compression / remplissage gélule → Contrôle qualité (libération in vitro),10,15,8566.634611504844
10,#10,Dissolution tobramycine HIP → Préparation NPs polymère (nanoprécipitation) → Incorporation tobramycine dans NPs → Préparation phase huileuse SEDDS → Ajout C10 (permeation enhancer) → Mélange SEDDS (homogénéisation) → Incorporation NPs dans SEDDS → Enrobage chitosane (fluid bed) → Enrobage entérique (Eudragit) → Compression / remplissage gélule → Contrôle qualité (libération in vitro),10,15,9999.816505671428
