formulation_id,logP,particle_size,sedds_composition,pe_conc,polymer,chitosan,enteric,dose,F_oral,Cmax,AUC_24,Cmax_MIC,AUC_MIC,fCT,Ctrough,enhancement_vs_native,fitness
TOB-65,1.5,50,50/30/20,50,30,1,1,547.03,0.34,9.48,31.93,9.48,31.93,29.31,0.16,23,0.61
TOB-68,1.5,50,50/30/20,50,30,1,1,543.38,0.34,9.43,31.73,9.43,31.73,29.31,0.16,23,0.61
TOB-99,1.5,50,50/30/20,50,30,1,1,538.01,0.34,9.34,31.43,9.34,31.43,29.11,0.15,23,0.61
TOB-114,1.5,50,50/30/20,50,30,1,1,559.87,0.34,9.69,32.63,9.69,32.63,29.73,0.16,23,0.61
TOB-184,1.5,50,50/30/20,50,30,1,1,564.77,0.34,9.77,32.89,9.77,32.89,29.94,0.16,22,0.61
TOB-185,1.5,50,50/30/20,50,30,1,1,564.77,0.34,9.77,32.89,9.77,32.89,29.94,0.16,22,0.61
TOB-44,1.5,50,50/30/20,50,30,1,1,528.87,0.34,9.19,30.93,9.19,30.93,28.69,0.15,23,0.61
TOB-63,1.5,50,50/30/20,50,30,1,1,570.08,0.34,9.86,33.18,9.86,33.18,30.15,0.16,22,0.61
TOB-71,1.5,50,50/30/20,50,30,1,1,524.56,0.34,9.12,30.69,9.12,30.69,28.48,0.15,23,0.61
TOB-107,1.5,50,50/30/20,50,30,1,1,574.47,0.34,9.93,33.42,9.93,33.42,30.35,0.16,22,0.61
