formulation_name,logP_str,ps_str,sedds_str,pe_str,polymer,chitosan,enteric,dose,F_str,cmax_mic_str,auc_mic_str,fitness
Candidate 1,1.6,50 nm,50/30/20,50 mM,29.47118905800726,1,1,999.9816505671429,28.4%,12.4,60.1,0.626752821495281
Candidate 2,1.6,50 nm,50/30/20,50 mM,29.47118905800726,1,1,999.9816505671429,28.4%,12.4,60.1,0.626752821495281
Candidate 3,1.6,50 nm,50/28/21,50 mM,30,1,1,994.9231534653474,28.4%,12.4,59.9,0.6264569765621472
Candidate 4,1.6,50 nm,50/28/21,50 mM,30,1,1,994.9231534653474,28.4%,12.4,59.9,0.6264569765621472
Candidate 5,1.6,50 nm,50/30/20,50 mM,29.203696012283846,1,1,1000,28.3%,12.4,59.9,0.6257273588926174
Candidate 6,1.5,52 nm,39/6/55,49 mM,30,1,1,993.8014697873608,25.5%,11,53.6,0.5874839948795715
Candidate 7,1.5,50 nm,10/30/58,45 mM,29.209903024894345,1,1,994.0362790194301,24.6%,10.3,51.8,0.5759960722675511
Candidate 8,1.6,50 nm,16/21/56,50 mM,29.341371359005215,1,1,931.4615475774484,24.7%,9.8,48.6,0.5664162917324147
Candidate 9,1.5,50 nm,13/28/58,47 mM,29.05154206147731,1,1,856.6634611504843,24.8%,9,45,0.5560367562025477
Candidate 10,1.6,50 nm,12/6/21,50 mM,29.47118905800726,1,1,999.9816505671429,23%,9.7,48.7,0.5552408316971138
