rank,F_oral,Cmax_MIC,AUC_MIC,dose,fitness,Cmax,AUC,Ctrough,fCT,logP,particle_size,surfactant,cosurfactant,oil,pe_conc,polymer,chitosan,enteric,dose_range
65,33.81604767239706,9.484606213198006,31.92569033236986,547.0348893616747,0.6107263631713671,9.484606213198006,31.92569033236986,0.1564513907642937,29.313929313929314,1.500090080744626,50,49.99682530855734,30,20.000030912840227,50,30,1,1,401-700mg
68,33.829901515859476,9.42516993652221,31.725625190383766,543.3842321259987,0.6107245579365889,9.42516993652221,31.725625190383766,0.15547097459964304,29.313929313929314,1.4989563385225404,50,49.99669520709847,29.999999999999993,20.000030849316882,50,30,1,1,401-700mg
99,33.8498584489052,9.337427084134703,31.430274242167346,538.0081939391866,0.6107171079625541,9.337427084134703,31.430274242167346,0.15402360995238007,29.10602910602911,1.5013711440247108,50,49.99763344635119,29.999999986869643,20,50,29.99801268605137,1,1,401-700mg
114,33.765836674844046,9.692690509002508,32.62613382023394,559.8680350241767,0.610715068373509,9.692690509002508,32.62613382023394,0.15988391236634006,29.72972972972973,1.5023558524956255,50,49.99194272109653,29.999999999999993,20,49.99999999999999,29.999999999999996,1,1,401-700mg
184,33.74734678535552,9.77217604868437,32.89366481638728,564.7681604242241,0.6107141981450895,9.77217604868437,32.89366481638728,0.16119493556896616,29.93762993762994,1.4997314107321824,50.000086038887225,49.99704070325931,30,20.00001749061533,50,29.999999999999996,1,1,401-700mg
185,33.74734678535552,9.77217604868437,32.89366481638728,564.7681604242241,0.6107141981450895,9.77217604868437,32.89366481638728,0.16119493556896616,29.93762993762994,1.4997314107321824,50.000086038887225,49.99704070325931,30,20.00001749061533,50,29.999999999999996,1,1,401-700mg
44,33.884243838804075,9.188113757029146,30.927679146948893,528.867779797722,0.6107049058065427,9.188113757029146,30.927679146948893,0.1515606504577254,28.690228690228693,1.5002622212108268,50,49.99726575446567,30,20.000000003889774,50,30,1,1,401-700mg
63,33.72638180881833,9.857895138662414,33.18219883420384,570.0762990783827,0.6107041632840753,9.857895138662414,33.18219883420384,0.16260889200928486,30.14553014553015,1.5002472898188415,50,49.997274286458676,29.99999945815431,20.00000000012194,50,30,1,1,401-700mg
71,33.900035876962484,9.11750783312127,30.69001672203872,524.5592426692091,0.6106944087546876,9.11750783312127,30.69001672203872,0.1503959894818256,28.482328482328484,1.5000276935642438,50,49.997047870434024,30,20.00000231433877,50,30,1,1,401-700mg
107,33.708100477488266,9.928472339997612,33.41978854007481,574.4695223914813,0.610687019934516,9.928472339997612,33.41978854007481,0.16377320621817426,30.353430353430355,1.5023558524956255,50.00000158892376,49.99194272109653,29.999999999999996,20.000011584241008,49.99999999999999,29.999999999999996,1,1,401-700mg
104,33.682199854408736,10.035165804827951,33.778898780898366,581.0889478010984,0.610672999736011,10.035165804827951,33.778898780898366,0.16553301057088746,30.561330561330564,1.5039160197539025,50,49.99785262948343,30,20.00002216552935,50,29.999999999975923,1,1,401-700mg
133,33.692627063552855,9.988111877680621,33.62055625850077,578.1860293142904,0.6106716380739616,9.988111877680621,33.62055625850077,0.1647570727092199,30.561330561330564,1.5014877509008595,50.000000461868,49.987875543773384,30,20.000011584241008,50,30,1,1,401-700mg
106,33.94866094545518,8.892267088491463,29.931864859388604,510.86800216663386,0.6106428702570257,8.892267088491463,29.931864859388604,0.1466806852810485,28.06652806652807,1.5038224879321802,50,49.991771360339975,30,20.00000000005007,50,30,1,1,401-700mg
23,33.64171310401573,10.194272075521425,34.314457197909,591.0124196198955,0.6106338309088856,10.194272075521425,34.314457197909,0.16815750625499237,30.97713097713098,1.5037137748936489,50,49.99823570643688,30,20.00002200675205,50,30,1,1,401-700mg
158,33.62414434758099,10.262358918624724,34.54364064296525,595.2706120939745,0.6106137711707964,10.262358918624724,34.54364064296525,0.1692806162631772,30.97713097713098,1.5028184580637063,50,49.99833799155159,30,20.00000807242931,50,30,1,1,401-700mg
75,33.99073071920897,8.699844253660125,29.28413409451112,499.1941217062519,0.6105969006616127,8.699844253660125,29.28413409451112,0.14350647979000541,27.650727650727653,1.500073455133027,50,49.99830845172126,30,20.000001854017295,49.99999999999999,29.999999999999996,1,1,401-700mg
131,34.00921425587236,8.610377657683676,28.98298637388113,493.79206997118706,0.6105657900403291,8.610377657683676,28.98298637388113,0.1420307103197635,27.442827442827443,1.5059137392395994,50,49.997966405715744,29.999928215391613,20.000000053368467,49.99999999999661,30,1,1,401-700mg
60,33.574157159839494,10.4485934752542,35.17054830348787,606.9761054301404,0.6105391847999566,10.4485934752542,35.17054830348787,0.17235278121784245,31.392931392931395,1.499776826134637,50,49.99124621524721,30,20,49.99999999999999,30,1,1,401-700mg
78,33.56799291572894,10.476528565543273,35.26453963001265,608.7099782473609,0.6105381007637624,10.476528565543273,35.26453963001265,0.1728133684930533,31.600831600831604,1.5000276734431168,50,49.999940313089795,30,20.0000023629648,50,30,1,1,401-700mg
165,34.02933920159337,8.515021631715777,28.66200591749407,488.03463322152504,0.6105345170843054,8.515021631715777,28.66200591749407,0.14045774736791033,27.234927234927238,1.4998943907725515,50,49.99978724310285,30,20.000000000000004,50,30,1,1,401-700mg
176,34.04232854291702,8.44961429144412,28.44185049131667,484.10120856633375,0.6105064021650977,8.44961429144412,28.44185049131667,0.13937888250783317,27.027027027027028,1.500276834615825,50,49.99732350355829,29.99999971289103,20,49.999999999999986,30,1,1,401-700mg
59,33.52562945084026,10.630825658265723,35.78392647573714,618.4557456132083,0.6104629463700312,10.630825658265723,35.78392647573714,0.17535862217821666,31.80873180873181,1.5023762099358322,50.00922223608555,49.99674709480457,30,20.000266167243915,50,30,1,1,401-700mg
52,34.06420159191329,8.34149908511297,28.077926881996746,477.60009129449224,0.6104616006524473,8.34149908511297,28.077926881996746,0.13759547921947624,26.819126819126822,1.499701769224993,50.00001636945952,49.99789544047275,29.99999990654157,20,50,30,1,1,401-700mg
87,33.94742191284242,8.78066681590641,29.556877169397605,504.4861821401881,0.6104275390624593,8.78066681590641,29.556877169397605,0.14484332948455028,27.85862785862786,1.5002488028062142,50,49.996758121561356,29.82153477848997,20.0000000263373,49.999999999999986,30,1,1,401-700mg
197,34.094411272471916,8.187976983773465,27.561167158626503,468.3947145943528,0.610389189115971,8.187976983773465,27.561167158626503,0.1350631070990985,26.403326403326403,1.4995276558824364,50,49.9969075252591,29.999928313116538,20.000000000002075,49.99999999999659,30,1,1,401-700mg
91,33.49108844036558,10.74427668622981,36.16585091762572,625.7012166681454,0.610377217155968,10.74427668622981,36.16585091762572,0.17723025437000797,32.224532224532226,1.5218532844678692,50,49.98774036325055,30,20,50,29.999999999999993,1,1,401-700mg
149,34.10323794772425,8.142493852805826,27.408068698825435,465.67228939131286,0.6103662631184515,8.142493852805826,27.408068698825435,0.13431285035130625,26.403326403326403,1.502636318610695,50,49.99678392052409,30,20.00000066266135,50,30,1,1,401-700mg
130,33.46100327117862,10.866147105038223,36.57602393889192,633.3665325839377,0.6103392646244884,10.866147105038223,36.57602393889192,0.17924028168221895,32.432432432432435,1.4997088163111543,50,49.998241254469086,30,20.000000130633136,50,30,1,1,401-700mg
140,34.11113375006789,8.08704966935654,27.22143663626684,462.39429180305825,0.6103174595963174,8.08704966935654,27.22143663626684,0.13339826099211305,26.195426195426197,1.4747634097070137,50,49.99791268625361,29.999999999999996,20.000461909724727,50,30,1,1,401-700mg
188,34.12529916016938,8.02924577589684,27.026864176370758,458.8986378126046,0.6103086268107702,8.02924577589684,27.026864176370758,0.1324447608345117,26.195426195426197,1.5019382587466694,50.000000000000014,49.998340613696676,29.99999998638377,20,49.999999999997954,30,1,1,401-700mg
109,33.4635322668553,10.834984785552699,36.471160344044925,631.5029365681854,0.6103071226845044,10.834984785552699,36.471160344044925,0.1787264113113054,32.224532224532226,1.4671486474860918,50.00000000000001,49.991808185792436,30,20,50,29.999999999999996,1,1,401-700mg
163,33.431441391363755,10.96979963250759,36.92493131775278,639.9737650057517,0.6102723717708272,10.96979963250759,36.92493131775278,0.1809501003024009,32.640332640332645,1.5022002272701693,50,49.99667282716953,30,20.00000000858401,50,30,1,1,401-700mg
200,33.431441391363755,10.96979963250759,36.92493131775278,639.9737650057517,0.6102723717708272,10.96979963250759,36.92493131775278,0.1809501003024009,32.640332640332645,1.5022002272701693,50,49.99667282716953,30,20.00000000858401,50,30,1,1,401-700mg
168,33.41103138988691,11.041520763520898,37.166345950749374,644.5514045398504,0.6102251692251046,11.041520763520898,37.166345950749374,0.1821331482647337,32.84823284823285,1.498939634484908,50,49.9971966298638,30,20.000031903815163,49.99999999998979,29.999999999999996,1,1,401-700mg
24,33.40619037372562,11.05843532410809,37.223280689569314,645.6323336251339,0.6102136571406752,11.05843532410809,37.223280689569314,0.18241215591158488,32.84823284823285,1.500367653954294,50,49.99731505304097,30,20.000000017262344,50,30,1,1,401-700mg
62,33.557589496386605,10.332398179245551,34.77939408311406,600.521874262549,0.6102060586784649,10.332398179245551,34.77939408311406,0.17043592165964233,31.185031185031185,1.6,50,49.998870336045115,30,20,50,30,1,1,401-700mg
147,33.92800070106065,8.726759234913759,29.374771937481338,501.6650074767332,0.6101839783301013,8.726759234913759,29.374771937481338,0.14395066549182678,27.650727650727653,1.5025675453279528,50,49.9876473116041,30,20.00000000582286,50,29.76002040189978,1,1,401-700mg
190,33.71427676376374,9.60161760255014,32.32167865185994,555.4916001189034,0.6101559742164746,9.60161760255014,32.32167865185994,0.158392774664041,29.521829521829524,1.5013563388850237,50,49.99790746942968,29.49322432458959,20.000021826607185,50,29.99999999886201,1,1,401-700mg
16,33.35567334663039,11.232256326041302,37.80836890901136,656.7737799951352,0.6100855612595374,11.232256326041302,37.80836890901136,0.18527937137978698,33.264033264033266,1.4991039526473575,50,49.99782632900528,30,20.000000849360912,50,29.999999999999986,1,1,401-700mg
194,33.936518649250054,8.615309888248353,28.999590670788233,495.13332305651994,0.6100410530158201,8.615309888248353,28.999590670788233,0.1421120802991723,27.442827442827443,1.6,50.00000156830354,49.99732350355829,29.99999971289103,20,49.861487054080726,30,1,1,401-700mg
132,33.33279586061011,11.309367202181994,38.06793076252951,661.7365222000041,0.6100228156498008,11.309367202181994,38.06793076252951,0.18655135155960373,33.264033264033266,1.4995644143665685,50,49.99730640708544,30,20.000000000200483,50,29.999999999999996,1,1,401-700mg
9,33.32449489852777,11.337747930080843,38.163456746859005,663.5623038703418,0.6100003918951603,11.337747930080843,38.163456746859005,0.18701947326012902,33.471933471933475,1.5010052588415463,50.00001717316641,49.998327858804764,30,20.000000000200483,50,30,1,1,401-700mg
181,33.45191313721042,10.686840977636408,35.9743254905851,623.1163767427922,0.6099628451990841,10.686840977636408,35.9743254905851,0.17629240939035815,32.016632016632016,1.4998965989994122,50,51.993229337050934,27.60757299519374,20.255930010335337,50,30,1,1,401-700mg
50,33.26326813509621,11.535059598736284,38.82767103557255,676.3539000286888,0.6098101861361543,11.535059598736284,38.82767103557255,0.1902744670117438,33.88773388773389,1.49611501595175,50.00007457622152,49.98783439918339,30,20.000000000000007,49.999999999999986,29.999999999999,1,1,401-700mg
79,33.26326813509621,11.535059598736284,38.82767103557255,676.3539000286888,0.6098101861361543,11.535059598736284,38.82767103557255,0.1902744670117438,33.88773388773389,1.49611501595175,50.00007457622152,49.98783439918339,30,20.00000000143964,49.999999999999986,29.999999999999005,1,1,401-700mg
