rank,formulation,fda_category,clinical_trial,est_years,est_cost_m_usd,risk_level,preclinical,container
1,#1,505(b)(2),Phase II (PK/Bioéquivalence),7,4.8,Élevé,"Toxicologie aiguë, Biodistribution NPs, Toxicité muqueuse GI, Sécurité chitosane",Gélule entérique (HPMC-AS)
2,#2,505(b)(2),Phase II (PK/Bioéquivalence),7,4.8,Élevé,"Toxicologie aiguë, Biodistribution NPs, Toxicité muqueuse GI, Sécurité chitosane",Gélule entérique (HPMC-AS)
3,#3,505(b)(2),Phase II (PK/Bioéquivalence),7,4.8,Élevé,"Toxicologie aiguë, Biodistribution NPs, Toxicité muqueuse GI, Sécurité chitosane",Gélule entérique (HPMC-AS)
4,#4,505(b)(2),Phase II (PK/Bioéquivalence),7,4.8,Élevé,"Toxicologie aiguë, Biodistribution NPs, Toxicité muqueuse GI, Sécurité chitosane",Gélule entérique (HPMC-AS)
5,#5,505(b)(2),Phase II (PK/Bioéquivalence),7,4.8,Élevé,"Toxicologie aiguë, Biodistribution NPs, Toxicité muqueuse GI, Sécurité chitosane",Gélule entérique (HPMC-AS)
6,#6,505(b)(2),Phase II (PK/Bioéquivalence),7,4.8,Élevé,"Toxicologie aiguë, Biodistribution NPs, Toxicité muqueuse GI, Sécurité chitosane",Gélule entérique (HPMC-AS)
7,#7,505(b)(2),Phase II (PK/Bioéquivalence),7,4.8,Élevé,"Toxicologie aiguë, Biodistribution NPs, Toxicité muqueuse GI, Sécurité chitosane",Gélule entérique (HPMC-AS)
8,#8,505(b)(2),Phase II (PK/Bioéquivalence),7,4.8,Élevé,"Toxicologie aiguë, Biodistribution NPs, Toxicité muqueuse GI, Sécurité chitosane",Gélule entérique (HPMC-AS)
9,#9,505(b)(2),Phase II (PK/Bioéquivalence),7,4.8,Élevé,"Toxicologie aiguë, Biodistribution NPs, Toxicité muqueuse GI, Sécurité chitosane",Gélule entérique (HPMC-AS)
10,#10,505(b)(2),Phase II (PK/Bioéquivalence),7,4.8,Élevé,"Toxicologie aiguë, Biodistribution NPs, Toxicité muqueuse GI, Sécurité chitosane",Gélule entérique (HPMC-AS)
