rank,formulation,risk_1,risk_2,risk_3,mitigation,priority
1,#1,NPs:/toxicité pulmonaire si inhalation accidentelle,PE: irritation GI potentielle,Chitosane: variabilité source (degré déacétylation),Étude toxicologie NPs (30j); Essai tolérance GI (escalade dose); Contrôle qualité chitosane (certificat CofA),Moyenne
2,#2,NPs:/toxicité pulmonaire si inhalation accidentelle,PE: irritation GI potentielle,Chitosane: variabilité source (degré déacétylation),Étude toxicologie NPs (30j); Essai tolérance GI (escalade dose); Contrôle qualité chitosane (certificat CofA),Moyenne
3,#3,NPs:/toxicité pulmonaire si inhalation accidentelle,PE: irritation GI potentielle,Chitosane: variabilité source (degré déacétylation),Étude toxicologie NPs (30j); Essai tolérance GI (escalade dose); Contrôle qualité chitosane (certificat CofA),Moyenne
4,#4,NPs:/toxicité pulmonaire si inhalation accidentelle,PE: irritation GI potentielle,Chitosane: variabilité source (degré déacétylation),Étude toxicologie NPs (30j); Essai tolérance GI (escalade dose); Contrôle qualité chitosane (certificat CofA),Moyenne
5,#5,NPs:/toxicité pulmonaire si inhalation accidentelle,PE: irritation GI potentielle,Chitosane: variabilité source (degré déacétylation),Étude toxicologie NPs (30j); Essai tolérance GI (escalade dose); Contrôle qualité chitosane (certificat CofA),Moyenne
6,#6,NPs:/toxicité pulmonaire si inhalation accidentelle,PE: irritation GI potentielle,Chitosane: variabilité source (degré déacétylation),Étude toxicologie NPs (30j); Essai tolérance GI (escalade dose); Contrôle qualité chitosane (certificat CofA),Moyenne
7,#7,NPs:/toxicité pulmonaire si inhalation accidentelle,PE: irritation GI potentielle,Chitosane: variabilité source (degré déacétylation),Étude toxicologie NPs (30j); Essai tolérance GI (escalade dose); Contrôle qualité chitosane (certificat CofA),Moyenne
8,#8,NPs:/toxicité pulmonaire si inhalation accidentelle,PE: irritation GI potentielle,Chitosane: variabilité source (degré déacétylation),Étude toxicologie NPs (30j); Essai tolérance GI (escalade dose); Contrôle qualité chitosane (certificat CofA),Moyenne
9,#9,NPs:/toxicité pulmonaire si inhalation accidentelle,PE: irritation GI potentielle,Chitosane: variabilité source (degré déacétylation),Étude toxicologie NPs (30j); Essai tolérance GI (escalade dose); Contrôle qualité chitosane (certificat CofA),Moyenne
10,#10,NPs:/toxicité pulmonaire si inhalation accidentelle,PE: irritation GI potentielle,Chitosane: variabilité source (degré déacétylation),Étude toxicologie NPs (30j); Essai tolérance GI (escalade dose); Contrôle qualité chitosane (certificat CofA),Moyenne
