parameter,test_value,AUC_MIC,delta_AUC_MIC,sensitivity_index
logP,0.15009008074462615,25.039221470621,-6.88646886174886,0.21570305262174963
logP,0.39174173395385514,27.103047490817595,-4.822642841552266,0.21570305262174963
logP,0.6333933871630841,28.88368078223491,-3.0420095501349493,0.21570305262174963
logP,0.8750450403723131,30.305681386953026,-1.620008945416835,0.21570305262174963
logP,1.116696693581542,31.306367239462137,-0.6193230929077238,0.21570305262174963
logP,1.358348346790771,31.840391843805165,-0.08529848856469613,0.21570305262174963
logP,1.6,31.88315114553861,-0.04253918683125235,0.21570305262174963
particle_size,50,31.92569033236986,0,0.09310344827586262
particle_size,72.5,31.430291689281376,-0.49539864308848536,0.09310344827586262
particle_size,95,30.934893046192883,-0.9907972861769778,0.09310344827586262
particle_size,117.5,30.43949440310443,-1.4861959292654312,0.09310344827586262
particle_size,140,29.944095760015912,-1.9815945723539485,0.09310344827586262
particle_size,162.5,29.448697116927434,-2.476993215442427,0.09310344827586262
particle_size,185,28.953298473838856,-2.9723918585310045,0.09310344827586262
surfactant,34.99682530855734,29.984519148645607,-1.9411711837242542,0.06080279434885316
surfactant,39.16402109046445,30.523807015595406,-1.4018833167744553,0.06080279434885316
surfactant,43.33121687237156,31.063090927243387,-0.862599405126474,0.06080279434885316
surfactant,47.49841265427867,31.602370833432968,-0.32331949893689327,0.06080279434885316
surfactant,51.66560843618578,NA,NA,0.06080279434885316
surfactant,55.83280421809289,NA,NA,0.06080279434885316
surfactant,60,NA,NA,0.06080279434885316
cosurfactant,22.5,30.955111211355458,-0.9705791210144028,0.030401194489765516
cosurfactant,23.75,31.116875304788426,-0.808815027581435,0.030401194489765516
cosurfactant,25,31.27863903737069,-0.6470512949991694,0.030401194489765516
cosurfactant,26.25,31.44040240775838,-0.4852879246114803,0.030401194489765516
cosurfactant,27.5,31.602165414611203,-0.32352491775865744,0.030401194489765516
cosurfactant,28.75,31.763928056592647,-0.16176227577721392,0.030401194489765516
cosurfactant,30,31.92569033236986,0,0.030401194489765516
oil,20,31.92569033236986,0,0
oil,22.500005152140037,NA,NA,0
oil,25.000010304280078,NA,NA,0
oil,27.500015456420115,NA,NA,0
oil,30.000020608560156,NA,NA,0
oil,32.5000257607002,NA,NA,0
oil,35.00003091284023,NA,NA,0
pe_conc,35,28.734960177639383,-3.1907301547304776,0.09994240129227076
pe_conc,37.5,29.41767787638513,-2.50801245598473,0.09994240129227076
pe_conc,40,30.028891590408485,-1.8967987419613763,0.09994240129227076
pe_conc,42.5,30.577913683911078,-1.3477766484587832,0.09994240129227076
pe_conc,45,31.072692442277987,-0.8529978900918742,0.09994240129227076
pe_conc,47.5,31.52001593066406,-0.40567440170580227,0.09994240129227076
pe_conc,50,31.92569033236986,0,0.09994240129227076
polymer,21,30.0719405711355,-1.8537497612343614,0.058064516129031706
polymer,22.5,30.38089886467456,-1.5447914676953012,0.058064516129031706
polymer,24,30.689857158213588,-1.235833174156273,0.058064516129031706
polymer,25.5,30.998815451752694,-0.9268748806171665,0.058064516129031706
polymer,27,31.30777374529177,-0.617916587078092,0.058064516129031706
polymer,28.5,31.616732038830822,-0.3089582935390389,0.058064516129031706
polymer,30,31.92569033236986,0,0.058064516129031706
chitosan,0,22.804064523121312,-9.121625809248549,0.28571428571428625
chitosan,1,31.92569033236986,0,0.28571428571428625
enteric,0,25.540552265895897,-6.385138066473964,0.19999999999999973
enteric,1,31.92569033236986,0,0.19999999999999973
dose,307.0348893616747,18.297595724611394,-13.628094607758467,0.42686922243121456
dose,387.0348893616747,22.9358675855875,-8.989822746782362,0.42686922243121456
dose,467.0348893616747,27.484726342450696,-4.440963989919165,0.42686922243121456
dose,547.0348893616747,31.92569033236986,0,0.42686922243121456
dose,627.0348893616747,36.24027789251398,4.314587560144119,0.42686922243121456
dose,707.0348893616747,40.41000736005205,8.484317027682188,0.42686922243121456
dose,787.0348893616747,44.416397072152975,12.490706739783114,0.42686922243121456
