Candidate_i,Candidate_j,Similarity
A,A,1
B,A,1
C,A,0.9868561389579871
D,A,0.9868561389579871
E,A,0.997746091057305
F,A,0.7354245187492296
G,A,0.7984202177711424
H,A,0.8028956453283156
I,A,0.801561923479915
J,A,0.9292293133690752
A,B,1
B,B,1
C,B,0.9868561389579871
D,B,0.9868561389579871
E,B,0.997746091057305
F,B,0.7354245187492296
G,B,0.7984202177711424
H,B,0.8028956453283156
I,B,0.801561923479915
J,B,0.9292293133690752
A,C,0.9868561389579871
B,C,0.9868561389579871
C,C,1
D,C,1
E,C,0.9875029978967393
F,C,0.7452717178065951
G,C,0.8011762061897691
H,C,0.813175827871162
I,C,0.8104649467625866
J,C,0.9320783730501718
A,D,0.9868561389579871
B,D,0.9868561389579871
C,D,1
D,D,1
E,D,0.9875029978967393
F,D,0.7452717178065951
G,D,0.8011762061897691
H,D,0.813175827871162
I,D,0.8104649467625866
J,D,0.9320783730501718
A,E,0.997746091057305
B,E,0.997746091057305
C,E,0.9875029978967393
D,E,0.9875029978967393
E,E,1
F,E,0.7331706098065347
G,E,0.8006451606549885
H,E,0.804148320195744
I,E,0.8034570832987098
J,E,0.9298761723078275
A,F,0.7354245187492296
B,F,0.7354245187492296
C,F,0.7452717178065951
D,F,0.7452717178065951
E,F,0.7331706098065347
F,F,1
G,F,0.868218927245769
H,F,0.9107478164132528
I,F,0.8775076678185867
J,F,0.7887433843571827
A,G,0.7984202177711424
B,G,0.7984202177711424
C,G,0.8011762061897691
D,G,0.8011762061897691
E,G,0.8006451606549885
F,G,0.868218927245769
G,G,1
H,G,0.9555633247590214
I,G,0.9899722415979026
J,G,0.7560074513326971
A,H,0.8028956453283156
B,H,0.8028956453283156
C,H,0.813175827871162
D,H,0.813175827871162
E,H,0.804148320195744
F,H,0.9107478164132528
G,H,0.9555633247590214
H,H,1
I,H,0.9648520653318391
J,H,0.7981711236777435
A,I,0.801561923479915
B,I,0.801561923479915
C,I,0.8104649467625866
D,I,0.8104649467625866
E,I,0.8034570832987098
F,I,0.8775076678185867
G,I,0.9899722415979026
H,I,0.9648520653318391
I,I,1
J,I,0.7647126086053393
A,J,0.9292293133690752
B,J,0.9292293133690752
C,J,0.9320783730501718
D,J,0.9320783730501718
E,J,0.9298761723078275
F,J,0.7887433843571827
G,J,0.7560074513326971
H,J,0.7981711236777435
I,J,0.7647126086053393
J,J,1
