"component","factor","P_int","multiplier","F_pct","Cmax"
"logP",0.8,1.77245239340805e-07,59.0817464469351,84.0968259878309,10.8818145014286
"logP",1.2,2.65867859011208e-07,88.6226196704026,92.7619433377728,14.1990132316589
"sedds",0.8,1.77245239340805e-07,59.0817464469351,84.0968259878309,10.8818145014286
"sedds",1.2,2.65867859011208e-07,88.6226196704026,92.7619433377728,14.1990132316589
"nanoparticle",0.8,1.77245239340805e-07,59.0817464469351,84.0968259878309,10.8818145014286
"nanoparticle",1.2,2.65867859011208e-07,88.6226196704026,92.7619433377728,14.1990132316589
"pe_C10",0.8,1.77245239340805e-07,59.0817464469351,84.0968259878309,10.8818145014286
"pe_C10",1.2,2.65867859011208e-07,88.6226196704026,92.7619433377728,14.1990132316589
"polymer",0.8,1.77245239340805e-07,59.0817464469351,84.0968259878309,10.8818145014286
"polymer",1.2,2.65867859011208e-07,88.6226196704026,92.7619433377728,14.1990132316589
"chitosan",0.8,1.77245239340805e-07,59.0817464469351,84.0968259878309,10.8818145014286
"chitosan",1.2,2.65867859011208e-07,88.6226196704026,92.7619433377728,14.1990132316589
"enteric",0.8,1.77245239340805e-07,59.0817464469351,84.0968259878309,10.8818145014286
"enteric",1.2,2.65867859011208e-07,88.6226196704026,92.7619433377728,14.1990132316589
