"component","factor","P_int","multiplier","F_pct","Cmax"
"logP",0.8,2.99905418421651e-07,99.9684728072169,94.5828911867708,27.6675396261024
"logP",1.2,4.49858127632476e-07,149.952709210825,98.4827511574273,34.0126828680801
"sedds",0.8,2.99905418421651e-07,99.9684728072169,94.5828911867708,27.6675396261024
"sedds",1.2,4.49858127632476e-07,149.952709210825,98.4827511574273,34.0126828680801
"nanoparticle",0.8,2.99905418421651e-07,99.9684728072169,94.5828911867708,27.6675396261024
"nanoparticle",1.2,4.49858127632476e-07,149.952709210825,98.4827511574273,34.0126828680801
"pe_C10",0.8,2.99905418421651e-07,99.9684728072169,94.5828911867708,27.6675396261024
"pe_C10",1.2,4.49858127632476e-07,149.952709210825,98.4827511574273,34.0126828680801
"polymer",0.8,2.99905418421651e-07,99.9684728072169,94.5828911867708,27.6675396261024
"polymer",1.2,4.49858127632476e-07,149.952709210825,98.4827511574273,34.0126828680801
"chitosan",0.8,2.99905418421651e-07,99.9684728072169,94.5828911867708,27.6675396261024
"chitosan",1.2,4.49858127632476e-07,149.952709210825,98.4827511574273,34.0126828680801
"enteric",0.8,2.99905418421651e-07,99.9684728072169,94.5828911867708,27.6675396261024
"enteric",1.2,4.49858127632476e-07,149.952709210825,98.4827511574273,34.0126828680801
