"file","bytes","mtime","md5"
"05_ANALYSIS/01_validation/figures/gate_forest.png",143975,"2026-09-05 12:25:01","6c01553c0c335b1796dc6f452ddb91c0"
"05_ANALYSIS/01_validation/figures/iv_validation_profile.png",207629,"2026-09-05 12:25:01","8b027d5d7746929e83019ca79fc56704"
"05_ANALYSIS/01_validation/README.md",505,"2026-09-05 12:22:53","bc4f19bb23dcd6ab204c6a375d07bba0"
"05_ANALYSIS/01_validation/scripts/01_plot_gate.R",2990,"2026-09-05 12:23:33","10f5902bba27bbdabd30d68086dbc88b"
"05_ANALYSIS/01_validation/tables/gate_summary.csv",474,"2026-09-05 12:25:01","7edc57620139a307b8621712945d1015"
"05_ANALYSIS/02_ga/figures/convergence_plot.png",123085,"2026-09-05 12:25:02","a98c915871ea6a5f975d351615fb61d1"
"05_ANALYSIS/02_ga/figures/pareto_front.png",94416,"2026-09-05 12:25:02","577756ad3b4f5e87760fcb5326738aa2"
"05_ANALYSIS/02_ga/README.md",473,"2026-09-05 12:22:53","6469cc6f625f821aa8768eee5496fe1b"
"05_ANALYSIS/02_ga/scripts/02a_convergence.R",2519,"2026-09-05 12:23:49","1334861cb1f43b782466e68e7e8bea4b"
"05_ANALYSIS/02_ga/scripts/02b_pareto.R",1459,"2026-09-05 12:23:49","107b61f4339aa1b2ec4e2f23d3b7ca51"
"05_ANALYSIS/02_ga/tables/convergence.csv",139,"2026-09-05 12:25:02","6ef41b3cab79bf5cf464f4a06672aa49"
"05_ANALYSIS/02_ga/tables/pareto_front.csv",163,"2026-09-05 12:25:02","b0eb100a3f570232b1025efcb7d56031"
"05_ANALYSIS/02_ga/tables/top10.csv",163,"2026-09-05 12:25:02","b0eb100a3f570232b1025efcb7d56031"
"05_ANALYSIS/03_dose_clcr/figures/s01_iv_clcr_heatmap.png",117100,"2026-09-05 12:25:03","8b4b79b40163a515ef185d5048f5adf5"
"05_ANALYSIS/03_dose_clcr/figures/s01_iv_scenarios.png",164646,"2026-09-05 12:25:03","6721946e9ca4bfac07c015cfe063dbc3"
"05_ANALYSIS/03_dose_clcr/README.md",501,"2026-09-05 12:22:53","51aa506791f27821a61b6115006a7580"
"05_ANALYSIS/03_dose_clcr/scripts/03a_iv_scenarios.R",1946,"2026-09-05 12:23:49","644279ef78e4ede3f09ea1dea1d6412a"
"05_ANALYSIS/03_dose_clcr/tables/S01_iv_scenarios.csv",2653,"2026-09-05 12:25:03","76a4af2cee3ce2760d347cc746e34356"
"05_ANALYSIS/04_calibration/figures/s02_calibration.png",147452,"2026-09-05 12:25:05","13ffa74eb3884fcb36cc6617d09fcaff"
"05_ANALYSIS/04_calibration/README.md",509,"2026-09-05 12:22:53","a577edc26149ec9a5d1fcf62b88bc6d2"
"05_ANALYSIS/04_calibration/scripts/04a_calibration.R",2194,"2026-09-05 12:23:18","59ad9ee3ad28fc3cdd5864ec3df30bf0"
"05_ANALYSIS/04_calibration/tables/S02_oral_papp_calibration.csv",859,"2026-09-05 12:25:05","f35396226c6546fb3ea2aefe56244a05"
"05_ANALYSIS/05_population/figures/s03_pop_violin.png",150157,"2026-09-05 12:25:09","9c2212fdcf13a23e2f8bc32fdb9ce785"
"05_ANALYSIS/05_population/README.md",505,"2026-09-05 12:22:53","a614b482483e15b60f295420d52a406f"
"05_ANALYSIS/05_population/scripts/05a_pop.R",2107,"2026-09-05 12:23:49","4c47cebe04c13d209d2f4080f24ab63f"
"05_ANALYSIS/05_population/tables/S03_population_summary.csv",196,"2026-09-05 12:25:09","d49b0d5aae3d37bff473b8a6744c13a5"
"05_ANALYSIS/05_population/tables/S03_population.csv",10558,"2026-09-05 12:25:09","8aa3812b224d568d89802a8abd329ad6"
"05_ANALYSIS/06_sensitivity/figures/s04_sensitivity_tornado.png",114514,"2026-09-05 12:25:11","427fbcac91bf03c5de6247e15165d9c5"
"05_ANALYSIS/06_sensitivity/README.md",509,"2026-09-05 12:22:53","1a0f61850c5d54df88216c40b98f50b2"
"05_ANALYSIS/06_sensitivity/scripts/06a_sensitivity.R",2007,"2026-09-05 12:23:49","b4a58a1137b59f559ec132548553ccf0"
"05_ANALYSIS/06_sensitivity/tables/S04_sensitivity_raw.csv",813,"2026-09-05 12:25:11","b354ab043c6ae5fc7eafc90a22058b4b"
"05_ANALYSIS/06_sensitivity/tables/S04_sensitivity.csv",269,"2026-09-05 12:25:11","5598504163c1bfe61858dd8f9cf5a780"
"05_ANALYSIS/07_food/figures/s05_food_bar.png",76800,"2026-09-05 12:25:12","8bb694c5f2c5b5c5a1122fd549c85b9a"
"05_ANALYSIS/07_food/README.md",481,"2026-09-05 12:22:53","e9128b8f164b408b66e3d38c5ccac664"
"05_ANALYSIS/07_food/scripts/07a_food.R",1894,"2026-09-05 12:23:18","4a71d74ee9f20bc1d60435c2bda46a82"
"05_ANALYSIS/07_food/tables/S05_food_effect.csv",226,"2026-09-05 12:25:12","c4ba0dcd1737cb2dbc96227ece42a81a"
"05_ANALYSIS/08_fractionation/figures/s06_fractionation_bar.png",114452,"2026-09-05 12:25:14","d9dd0e75526c2406a5bd8bfebfe5085c"
"05_ANALYSIS/08_fractionation/README.md",517,"2026-09-05 12:22:53","9826095cc46422766309cb6cd0e6a2a2"
"05_ANALYSIS/08_fractionation/scripts/08a_fractionation.R",2059,"2026-09-05 12:23:18","32f851135ef6fb72561a5dded98b165f"
"05_ANALYSIS/08_fractionation/tables/S06_fractionation.csv",541,"2026-09-05 12:25:14","6d352ba1522aa03cac9047cdb829ea15"
"05_ANALYSIS/08_fractionation/tables/S06_pta.csv",445,"2026-09-05 12:25:14","e4db3dc36a89db296429c14a003b43c5"
"05_ANALYSIS/09_winner/figures/s07_dose_scan.png",146531,"2026-09-05 12:25:15","e31a8aa21e1ffc7e097bf1808da67756"
"05_ANALYSIS/09_winner/figures/s08_reqmap.png",139349,"2026-09-05 12:25:15","feeb9ff76953e194053934a52c9a4e7e"
"05_ANALYSIS/09_winner/README.md",489,"2026-09-05 12:22:53","358c08e29a2d6c16325db1e301382761"
"05_ANALYSIS/09_winner/scripts/09a_winner.R",2695,"2026-09-05 12:23:18","3346bc3e430b2430ce583d2441d102b1"
"05_ANALYSIS/09_winner/tables/S07_dose_scan.csv",336,"2026-09-05 12:25:15","8defb540784cbdd73826e777aed62109"
"05_ANALYSIS/09_winner/tables/S07_winner_profile.csv",1975468,"2026-09-05 12:25:15","d094d6c62cb8c8895271a2ef0223b820"
"05_ANALYSIS/09_winner/tables/S08_requirement_map.csv",635,"2026-09-05 12:25:15","9322211a2a2b89cc308895459c9c1e81"
"05_ANALYSIS/10_uncertainty/figures/S09_frontier.png",142943,"2026-09-05 12:25:16","d046bc7edb3aa26260249777a098fce3"
